meshes/actors/character/facegendata/facegeom/dawnguard.esm/00014262.nif	Triangles x1962, Triangles Copy x1962, Index x1108, Weight x264, Vertex Weights x198, Num Bones x13
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001426c.nif	Triangles x1671, Triangles Copy x1671, Index x936, Weight x218, Vertex Weights x170, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001426d.nif	Triangles x2132, Triangles Copy x2132, Index x378, Weight x192, Vertex Weights x110, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00014270.nif	Triangles x2520, Triangles Copy x2520, Index x473, Vertex Weights x462, Weight x280, Num Bones x8
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001427b.nif	Triangles x2132, Triangles Copy x2132, Index x378, Weight x192, Vertex Weights x110, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00014286.nif	Triangles x2335, Triangles Copy x2335, Index x1316, Weight x357, Vertex Weights x170, Num Bones x9
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001428e.nif	Triangles x1685, Triangles Copy x1685, Index x113, Weight x110, Vertex Weights x66, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000150b4.nif	Triangles x2335, Triangles Copy x2335, Index x1316, Weight x357, Vertex Weights x170, Num Bones x9
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000150b6.nif	Triangles x1671, Triangles Copy x1671, Index x936, Weight x218, Vertex Weights x170, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001541d.nif	Triangles x1671, Triangles Copy x1671, Index x936, Weight x218, Vertex Weights x170, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000162fb.nif	Triangles x2520, Triangles Copy x2520, Index x473, Vertex Weights x462, Weight x280, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000176f9.nif	Triangles x2488, Triangles Copy x2488, Vertex Weights x476, Index x458, Weight x290, Num Bones x8
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000176fa.nif	Triangles x2388, Triangles Copy x2388, Index x795, Weight x540, Vertex Weights x76, Num Bones x9
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000176fb.nif	Triangles x1964, Triangles Copy x1964, Index x282, Weight x161, Vertex Weights x100, Num Bones x8
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000176fd.nif	Triangles x2388, Triangles Copy x2388, Index x795, Weight x540, Vertex Weights x76, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000176ff.nif	Triangles x2132, Triangles Copy x2132, Index x378, Weight x192, Vertex Weights x110, Num Bones x11
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00017f89.nif	Triangles x3332, Triangles Copy x3332, Index x1636, Weight x1143, Vertex Weights x70, Num Bones x8
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00017f8c.nif	Triangles x2354, Triangles Copy x2354, Vertex Weights x441, Index x296, Weight x190, Num Vertices x9
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00017f90.nif	Triangles x2486, Triangles Copy x2486, Index x558, Vertex Weights x321, Weight x309, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00017f92.nif	Triangles x1685, Triangles Copy x1685, Index x113, Weight x110, Vertex Weights x66, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/000183a3.nif	Triangles x1671, Triangles Copy x1671, Index x936, Weight x218, Vertex Weights x170, Vertex Desc x5
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00019580.nif	Triangles x2335, Triangles Copy x2335, Index x1316, Weight x357, Vertex Weights x170, Num Bones x9
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001993e.nif	Triangles x2335, Triangles Copy x2335, Index x1316, Weight x357, Vertex Weights x170, Num Bones x9
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001a3cd.nif	Triangles x2497, Triangles Copy x2497, Index x521, Vertex Weights x446, Weight x291, Num Bones x8
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001a4f7.nif	Triangles x2396, Triangles Copy x2396, Index x1447, Weight x517, Vertex Weights x190, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001a504.nif	Triangles x2388, Triangles Copy x2388, Index x795, Weight x540, Vertex Weights x76, Num Bones x10
