archive	path	shape	source	rebuilt	lost
Skyrim - Meshes0.bsa	meshes/dlc02/clutter/dlc2controlcubeinv.nif	DLC2CubeCenter:0	7883	7460	423
Skyrim - Meshes0.bsa	meshes/dlc02/clutter/dlc2controlcube.nif	DLC2CubeCenter:0	8385	7964	421
Skyrim - Meshes0.bsa	meshes/dlc02/dungeons/dwemer/animated/dlc2dwecontrolcube/dlc2dwecontrolcube.nif	DLC2CubeCenter:0	7861	7440	421
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/ravenrock/bulwark/dlc2rrbulwarkentrytemp01.nif	DLC2RRBulwarkEntryTemp01:1	5745	5326	419
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/exterior/norlabyrinthianmaze04.nif	NorLabyrinthianMaze04:3	718	299	419
Skyrim - Meshes0.bsa	meshes/dlc01/effects/dlc1readelderscrollpartc.nif	Rivers07	669	252	417
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinshallbg2way01winr01.nif	SERuinsHallBg2Way01WinR01:1	1500	1084	416
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/wharena01.nif	Object604	1471	1061	410
Skyrim - Meshes0.bsa	meshes/architecture/riften/blackbriarchalet.nif	L2_WindowGlow	1786	1380	406
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_blastroofremain.nif	Plane10	3483	3078	405
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtsnowshodhouse01.nif	RTSnowShodHouse01:1	6176	5776	400
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/wharena01.nif	Object611	1393	993	400
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testhousevolume1.nif	testhousevolume1:9	4801	4406	395
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion1.nif	L2_windhelmtempvmansion1:3	6278	5887	391
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrintladder01.nif	WRIntLadder01:2	3108	2722	386
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintwoodladder01.nif	WHIntWoodLadder01:8	3096	2710	386
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplargedaintysload01.nif	SloadPaint	4047	3665	382
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtbeebarb01.nif	RTBeeBarb01:1 - L2_WindowDetail:1 - L2_SupportBeams:1	9613	9233	380
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion1.nif	L2_windhelmtempvmansion1:38	2554	2175	379
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinshallbg2way01winl01.nif	SERuinsHallBg2Way01WinL01:1	1516	1141	375
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhub2ndflwallm02.nif	BYOHBYOHWRhub2ndFLWallM02:38	3788	3415	373
Skyrim - Meshes0.bsa	meshes/clutter/dwemer/dweshelf02.nif	DweShelf02:0	17578	17207	371
Skyrim - Meshes0.bsa	meshes/clutter/dwemer/dweshelfsolid02.nif	DweShelfSolid02:0	17733	17362	371
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclancruelsea.nif	WHclancruelsea:0	11123	10753	370
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclancruelseadestroyed.nif	WHclancruelseaDestroyed:0	11092	10722	370
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	WHIntInn01:11	1492	1124	368
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	WHIntWoodRoofLeft07:11	1492	1124	368
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	WHIntWoodRoofLeft03:11	1492	1124	368
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testhousevolume1.nif	testhousevolume1:11	6593	6225	368
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinshallbg2way01winlr01.nif	SERuinsHallBg2Way01WinLR01:1	1399	1031	368
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testroof2delete.nif	WHBrunwulf:11	8630	8263	367
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtkeep01.nif	Barracks:23	1046	682	364
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/chambers/norchamberritual01.nif	NorChamberRitual01:10	3914	3550	364
Skyrim - Meshes0.bsa	meshes/actors/character/character assets/hair/argonianfemalehorns09ahairline.nif	ArgonianFemaleHorns09AHairline	1004	644	360
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrcastlestonetower01porchint.nif	WRCastleStoneTower01PorchINT:23	557	198	359
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempmarket.nif	tempmarket:1	2097	1739	358
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhub2ndflwallm01.nif	BYOHBYOHWRhub2ndFLWallM01:38	3649	3292	357
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrcastle/wrintcastlewalldoublehighexstr01quad.nif	WRIntCastleWallDoubleHighExStr01Quad:9	504	152	352
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrtowerbeamsl01.nif	BYOHBYOHWRtowerBeamsL01:10	2298	1952	346
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclanshattershield.nif	WHCLanshattershield:38	2554	2211	343
Skyrim - Meshes0.bsa	meshes/dungeons/dwemer/animated/dwerepository/dwerepository01.nif	Repository01:32	20642	20300	342
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc1waygate.nif	SERuinsHallBg1Way02:6	2088	1748	340
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc1bf_column1_away.nif	FollowThem:0	5769	5430	339
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/thirsk/meadhall/dlc2thirskmeadhallinterior01.nif	DLC2ThirskMeadHallInterior01:66	1051	713	338
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindhelmvalens.nif	tempwindhelmvalens:33	4092	3755	337
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whclanshattershield.nif	WHCLanshattershield:3	6278	5946	332
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_room.nif	Object02:1	5788	5456	332
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrlonghskint01.nif	BYOHBYOHWRlonghsKINT01:36	1954	1625	329
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtblackbriarmanor01.nif	RTBlackBriarManor01:1	6983	6654	329
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrlonghskbeams01.nif	BYOHBYOHWRlonghsKBeams01:36	1200	873	327
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_blastroofremain.nif	Box03_frag_26:1	901	574	327
Skyrim - Meshes0.bsa	meshes/architecture/highhrothgar/highhrothgarfloor01.nif	Stones01	2123	1798	325
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinsrmcorin01.nif	SERuinsRmCorIn01:1	1151	827	324
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/ravenrock/rrbuildingint03a.nif	RRBuildingInt03A:9	3024	2703	321
Skyrim - Meshes0.bsa	meshes/dlc02/architecture/ravenrock/dlc2rrbuilding03.nif	DLC2RRBuilding03:9 - L1_Thatch:9	3960	3640	320
Skyrim - Meshes0.bsa	meshes/architecture/solitude/sbardscollege.nif	SBardsCollegeMesh:17 - L2_Fences:17	16647	16329	318
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrtempleofk01.nif	WRTempleOfK01:10 - L2_TempleParts:10	6442	6124	318
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/dlc01sebf_room.nif	Plane15:21	4193	3878	315
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/chambers/norhallofstoriesendexbg01.nif	NorHallOfStoriesEndExBg01:50	1556	1241	315
Skyrim - Meshes0.bsa	meshes/architecture/sovengarde/sovmeadhall01.nif	SOVMeadHall01:10	6002	5690	312
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrcastlewoodtower01.nif	WRCastleWoodTower01:2	2882	2570	312
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrhub2ndflwallm02.nif	BYOHBYOHWRhub2ndFLWallM02:34	1237	930	307
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrhousegreymane01destroyed.nif	WRHouseGreyMane01Destroyed:2	5492	5185	307
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/testroof2delete.nif	WHBrunwulf:8	5010	4703	307
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinsrmcorin01winl01.nif	SERuinsRmCorIn01WinL01:1	1070	764	306
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindtempletalos.nif	tempwindtempletalos:42	6573	6269	304
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/windhelmtempvmansion02.nif	windhelmtempvmansion02:9	6471	6167	304
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whhjerim1.nif	WHHjerim1:9	6471	6167	304
Skyrim - Meshes0.bsa	meshes/dungeons/imperial/tower/imptowerbase01.nif	ImpTowerBase01:9	829	525	304
Skyrim - Meshes0.bsa	meshes/dungeons/imperial/tower/imptowerbase01top.nif	ImpTowerBase01Top:9	829	525	304
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtmjollandtroutpurse01.nif	RTMjollandTroutPurse01:2	848	545	303
